creation_datetime,last_change_datetime,id,racer_id,race_id,qualification_place,qualification_points,place,points,punishments,extras,fastest_lap,driver_of_the_day,punishment_and_extras_description,name,total_points
2024-02-01 11:57:44.690102,2024-02-01 11:57:44.693510,116,9,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Pedro Pacheco in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.696579,2024-02-01 11:57:44.699534,117,10,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Francisco Freitas in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.702255,2024-02-01 11:57:44.705022,118,11,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Luís Dias in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.707619,2024-02-01 11:57:44.711103,119,12,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Gonçalo Garrett in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.713516,2024-02-01 11:57:44.716014,120,13,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Miguel Sousa Guedes in Race: Bombarral in September 2023,0.0
2024-02-01 11:57:44.718474,2024-02-01 11:57:44.721234,121,16,6,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: António Guimarães in Race: Bombarral in September 2023,0.0
2024-02-01 13:43:34.211939,2024-02-01 13:43:34.250652,122,1,7,2,8.0,1,30.0,0.0,0.0,True,False,,Racer: Francisco Matos Gil in Race: V N Paiva in October 2023,39.0
2024-02-01 13:43:34.342871,2024-02-01 13:43:34.375194,123,6,7,4,5.0,1,30.0,0.0,0.0,False,False,,Racer: Luís Ferreira in Race: V N Paiva in October 2023,35.0
2024-02-01 13:43:34.430962,2024-02-01 13:43:34.465821,124,4,7,8,0.0,1,30.0,0.0,0.0,False,False,,Racer: Dinis Brito e Faro in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:34.540334,2024-02-01 13:43:34.547520,125,2,7,10,0.0,1,30.0,0.0,0.0,False,False,,Racer: João Couceiro in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:34.616547,2024-02-01 13:43:34.656858,126,9,7,5,2.0,1,30.0,0.0,0.0,False,False,,Racer: Pedro Pacheco in Race: V N Paiva in October 2023,32.0
2024-02-01 13:43:34.720897,2024-02-01 13:43:34.770288,127,3,7,7,0.0,1,30.0,0.0,0.0,False,False,,Racer: Miguel Caeiro in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:34.837259,2024-02-01 13:43:34.859851,128,11,7,12,0.0,1,30.0,0.0,0.0,False,False,,Racer: Luís Dias in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:34.910216,2024-02-01 13:43:34.916545,129,8,7,6,1.0,1,30.0,0.0,0.0,False,False,,Racer: Francisco Lima in Race: V N Paiva in October 2023,31.0
2024-02-01 13:43:34.963446,2024-02-01 13:43:34.984953,130,7,7,9,0.0,1,30.0,0.0,0.0,False,False,,Racer: Henrique Vilas in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:35.026571,2024-02-01 13:43:35.036142,131,10,7,11,0.0,1,30.0,0.0,0.0,False,False,,Racer: Francisco Freitas in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:35.163723,2024-02-01 13:43:35.180408,132,5,7,1,9.0,1,30.0,0.0,0.0,False,False,,Racer: Alexandre Campelo in Race: V N Paiva in October 2023,39.0
2024-02-01 13:43:35.233020,2024-02-01 13:43:35.242136,133,12,7,13,0.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Garrett in Race: V N Paiva in October 2023,30.0
2024-02-01 13:43:35.298673,2024-02-01 13:43:35.327946,134,17,7,3,6.0,1,30.0,0.0,0.0,False,False,,Racer: Gonçalo Ramalho in Race: V N Paiva in October 2023,36.0
2024-02-01 13:43:35.439855,2024-02-01 13:43:35.456907,135,16,7,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: António Guimarães in Race: V N Paiva in October 2023,0.0
2024-02-01 13:43:35.475228,2024-02-01 13:43:35.483021,136,13,7,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Miguel Sousa Guedes in Race: V N Paiva in October 2023,0.0
2024-02-01 13:43:35.492746,2024-02-01 13:43:35.503265,137,14,7,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: Tomás Marrana in Race: V N Paiva in October 2023,0.0
2024-02-01 13:43:35.519966,2024-02-01 13:43:35.534983,138,15,7,0,0.0,0,1.0,1.0,0.0,False,False,Piloto recebeu castigo de 1.0 pontos porque faltou à corrida,Racer: José Pedro Raimundo in Race: V N Paiva in October 2023,0.0
2024-02-01 13:46:02.659937,2024-02-01 13:46:02.689178,139,2,8,5,2.0,1,30.0,0.0,0.0,False,False,,Racer: João Couceiro in Race: Vila Real  in November 2023,32.0
